year;site;site_long;source;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;parameter;unit;value
2021;WAB;Wasterkingen-Büelhalden;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;23.2833783493239
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.858075356766703
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;11.159646431903347
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;17.0177217886701
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.618891271814368
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;17.944241561062473
2021;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;26.5631328328769
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;aus NOx-Quellen;kg-N/ha/a;4.763657603008767
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;aus NH3-Quellen;kg-N/ha/a;14.419593495281243
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Hochmoor;5;5;10;N-Deposition;kg-N/ha/a;19.18325109829
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;6.690348932590641
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;17.399104076975327
2022;AEG;Knonau-Ägelsee;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;24.089453009566
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.118302547978537
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;14.51889880462025
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;19.6372013525988
